,City,Country,Latitude,Longitude,Temperature,Max_Temp,Min_Temp,Humidity,Cloudiness,Windspeed
104,Saint-Pierre,RE,-21.3393,55.4781,291.42,291.97,287.14,72,75,6.69
105,Saint-Philippe,RE,-21.3585,55.7679,290.53,291.92,287.1,81,82,7.05
106,Mayo,US,38.8876,-76.5119,292.14,295.12,289.33,87,1,1.54
107,Shitanjing,CN,39.2342,106.3439,299.0,299.0,299.0,23,0,3.51
108,Arraial do Cabo,BR,-22.9661,-42.0278,292.39,292.39,292.39,76,18,2.75
109,Villa María,AR,-32.4075,-63.2402,282.88,282.88,282.88,54,0,3.87
110,Ust'-Kut,RU,56.7938,105.7672,295.79,295.79,295.79,54,79,4.39
111,Storslett,NO,69.7678,21.0247,283.63,283.63,283.63,89,100,2.0
112,Chui,UY,-33.6971,-53.4616,282.78,282.78,282.78,96,78,2.34
113,Guerrero Negro,MX,27.9769,-114.0611,295.29,295.29,295.29,80,5,5.98
114,Petropavlovskoye,RU,52.0712,84.107,293.45,293.45,293.45,62,98,1.66
115,Butte,US,39.6499,-121.5677,305.78,307.03,301.68,20,1,5.14
116,Mogadishu,SO,2.0371,45.3438,297.69,297.69,297.69,84,82,7.84
117,Melfi,IT,40.9965,15.6514,301.04,301.05,296.71,43,70,5.09
118,Thinadhoo,MV,0.5333,72.9333,300.66,300.66,300.66,72,80,1.95
119,Bredasdorp,ZA,-34.5322,20.0403,286.77,286.77,283.86,94,32,1.03
120,Puerto Ayora,EC,-0.7393,-90.3518,295.12,295.12,295.12,82,49,3.13
121,Constitución,CL,-35.3333,-72.4167,284.31,284.31,284.31,86,100,4.73
122,Portland,US,45.5234,-122.6762,303.72,306.13,300.71,41,40,0.45
123,Busselton,AU,-33.65,115.3333,289.29,289.29,287.09,68,0,2.8
124,Kiryat Gat,IL,31.61,34.7642,298.46,302.26,297.08,47,0,1.45
125,Cherskiy,RU,68.75,161.3,286.54,286.54,286.54,62,97,4.3
126,Zhuanghe,CN,39.7008,122.9911,301.17,301.17,301.17,72,98,0.73
127,Lorengau,PG,-2.0226,147.2712,303.32,303.32,303.32,62,14,1.94
128,Aklavik,CA,68.2191,-135.0107,293.61,293.61,293.55,36,5,5.31
129,Iqaluit,CA,63.7506,-68.5145,278.54,279.0,278.54,86,75,1.34
130,Te Anau,NZ,-45.4167,167.7167,281.56,281.56,281.56,70,100,0.2
131,Mehamn,NO,71.0357,27.8492,282.12,282.12,282.12,76,75,7.2
